sentences,cleaned_text,sentiment_value,word_count,category,cleaned_text_1,polarity
then the scientific adviser to the defence minister,scientif advis defenc minist,0,8,Neutral,"['scientif', 'advis', 'defenc', 'minist']",0.0
presided over the gathering he spoke on india’s efforts in,presid gather spoke india effort,0,10,Neutral,"['presid', 'gather', 'speak', 'india', 'effort']",0.0
generating nuclear energy and the challenge in conducting,gener nuclear energi challeng conduct,-1,8,Negative,"['gener', 'nuclear', 'energi', 'challeng', 'conduct']",0.0
the first nuclear test for peaceful purposes as i had been,first nuclear test peac purpos,2,11,Positive,"['nuclear', 'test', 'peac', 'purpos']",0.25
so closely involved with slv3 it was natural that i was,close involv slv natur,1,11,Positive,"['close', 'involv', 'slv', 'natur']",0.0
soon in full spate about it later prof raja ramanna,soon full spate later prof raja ramanna,0,10,Neutral,"['soon', 'spate', 'later', 'prof', 'raja', 'ramanna']",0.175
invited me for a private meeting over tea,invit privat meet tea,1,8,Positive,"['invit', 'privat', 'meet', 'tea']",0.0
the first thing that struck me when i met prof ramanna,first thing struck met prof ramanna,-1,11,Negative,"['thing', 'strike', 'meet', 'prof', 'ramanna']",0.25
was his genuine pleasure at meeting me there was an,genuin pleasur meet,3,10,Positive,"['genuin', 'pleasur', 'meet']",0.0
eagerness in his talk an immediate sympathetic,eager talk immedi sympathet,2,7,Positive,"['eager', 'talk', 'immedi', 'sympathet']",0.0
friendliness accompanied by quick graceful movements,friendli accompani quick grace movement,0,6,Neutral,"['friendli', 'accompani', 'quick', 'grace', 'movement']",0.3333333333333333
the evening brought back memories of my first meeting,even brought back memori first meet,0,9,Neutral,"['bring', 'memori', 'meet']",0.125
with prof sarabhai—as if it was yesterday the world of,prof sarabhai yesterday world,0,10,Neutral,"['prof', 'sarabhai', 'yesterday', 'world']",0.0
prof sarabhai was internally simple and externally easy,prof sarabhai intern simpl extern easi,1,8,Positive,"['prof', 'sarabhai', 'intern', 'simpl', 'extern', 'easi']",0.0
each of us working with him was driven by a singleminded,us work driven singlemind,-2,11,Negative,"['work', 'drive', 'singlemind']",0.0
need to create and lived under conditions which made the,need creat live condit made,0,10,Neutral,"['need', 'creat', 'live', 'condit']",0.13636363636363635
object of that need directly accessible sarabhai’s world,object need directli access sarabhai world,0,8,Neutral,"['object', 'need', 'directli', 'access', 'sarabhai', 'world']",0.0
was tailormade to our dreams it had neither too much nor,tailormad dream neither much,1,11,Positive,"['tailormad', 'dream']",0.2
too little of anything needed by any one of us we could,littl anyth need one us could,0,12,Neutral,"['littl', 'anyth', 'need']",0.0
divide it by our requirements without a remainder,divid requir without remaind,0,8,Neutral,"['divid', 'requir', 'remaind']",0.0
my world by now had no simplicity left in it it had,world simplic left,-2,12,Negative,"['world', 'simplic', 'leave']",0.0
become an internally complex and externally difficult world,becom intern complex extern difficult world,-1,8,Negative,"['becom', 'intern', 'complex', 'extern', 'difficult', 'world']",-0.4
my efforts in rocketry and in achieving the goal of making,effort rocketri achiev goal make,0,11,Neutral,"['effort', 'rocketri', 'achiev', 'goal']",0.0
indigenous rockets were impeded by external obstacles,indigen rocket imped extern obstacl,-2,7,Negative,"['indigen', 'rocket', 'impe', 'extern', 'obstacl']",0.0
and complicated by internal wavering i was aware that it,complic intern waver awar,-1,10,Negative,"['complic', 'intern', 'waver', 'awar']",0.0
required a special effort of the will to sustain my trajectory,requir special effort sustain trajectori,0,11,Neutral,"['requir', 'special', 'effort', 'sustain', 'trajectori']",0.35714285714285715
the coordination of my present with my past had already,coordin present past alreadi,0,10,Neutral,"['coordin', 'present', 'past', 'alreadi']",-0.125
been jeopardised the coordination of my present with my,jeopardis coordin present,0,9,Neutral,"['jeopardis', 'coordin', 'present']",0.0
future was uppermost in my mind when i went to have tea,futur uppermost mind went tea,0,12,Neutral,"['futur', 'uppermost', 'mind', 'go', 'tea']",0.0
with prof ramanna,prof ramanna,0,3,Neutral,"['prof', 'ramanna']",0.0
he did not take long to come to the point the devil,take long come point devil,0,12,Neutral,"['long', 'come', 'point', 'devil']",-0.05
missile programme had been shelved in spite of,missil programm shelv spite,0,8,Neutral,"['missil', 'programm', 'shelv', 'spite']",0.0
tremendous achievements made by narayanan and his,tremend achiev made narayanan,0,7,Neutral,"['tremend', 'achiev', 'narayanan']",0.0
team at drdl the entire programme of military rockets,team drdl entir programm militari rocket,0,9,Neutral,"['team', 'drdl', 'entir', 'programm', 'militari', 'rocket']",0.0
was reeling under a persistent apathy the drdo needed,reel persist apathi drdo need,-3,9,Negative,"['reel', 'persist', 'apathi', 'drdo', 'need']",0.0
somebody to take command of their missile programmes,somebodi take command missil programm,0,8,Neutral,"['somebodi', 'command', 'missil', 'programm']",0.0
which had been stuck at the drawing board and static test,stuck draw board static test,0,11,Neutral,"['stick', 'draw', 'board', 'static', 'test']",0.5
bed stages for quite a while prof ramanna asked me if i,bed stage quit prof ramanna ask,0,12,Neutral,"['bed', 'stage', 'quit', 'prof', 'ramanna', 'ask']",0.0
would like to join drdl and shoulder the responsibility of,would like join drdl shoulder respons,3,10,Positive,"['like', 'join', 'drdl', 'shoulder', 'respon']",0.0
shaping their guided missile development programme,shape guid missil develop programm,0,6,Neutral,"['shape', 'guid', 'missil', 'develop', 'programm']",0.0
gmdp prof ramanna’s proposal evoked a mixture of,gmdp prof ramanna propos evok mixtur,0,8,Neutral,"['gmdp', 'prof', 'ramanna', 'propos', 'evok', 'mixtur']",0.0
emotions in me,emot,0,3,Neutral,['emot'],0.0
when again would i have such an opportunity to,would opportun,2,9,Positive,['opportun'],0.0
consolidate all our knowledge of rocketry and apply it,consolid knowledg rocketri appli,0,9,Neutral,"['consolid', 'knowledg', 'rocketri', 'appli']",0.0
i felt honoured by the esteem in which prof ramanna,felt honour esteem prof ramanna,2,10,Positive,"['feel', 'honour', 'esteem', 'prof', 'ramanna']",0.0
held me he had been the guiding spirit behind the,held guid spirit behind,1,10,Positive,"['hold', 'guid', 'spirit']",-0.4
pokharan nuclear test and i was thrilled by the impact he,pokharan nuclear test thrill impact,0,11,Neutral,"['pokharan', 'nuclear', 'test', 'thrill', 'impact']",0.0
had helped create on the outside world about india’s,help creat outsid world india,2,9,Positive,"['help', 'creat', 'outsid', 'world', 'india']",0.0
technical competence i knew i would not be able to refuse,technic compet knew would abl refus,-2,11,Negative,"['technic', 'compet', 'know', 'abl', 'refus']",0.0
him prof ramanna advised me to talk to prof dhawan on,prof ramanna advis talk prof dhawan,0,11,Neutral,"['prof', 'ramanna', 'advis', 'talk', 'prof', 'dhawan']",0.0
this issue so that he could work out the modalities of my,issu could work modal,0,12,Neutral,"['issu', 'work', 'modal']",0.0
transfer from isro to drdl,transfer isro drdl,0,5,Neutral,"['transfer', 'isro', 'drdl']",0.0
i met prof dhawan on 14 january 1981 he gave me a,met prof dhawan januari gave,0,12,Neutral,"['meet', 'prof', 'dhawan', 'januari', 'give']",0.0
patient hearing with his typical penchant for weighing,patient hear typic penchant weigh,0,8,Neutral,"['patient', 'hear', 'typic', 'penchant', 'weigh']",0.0
everything carefully to make sure he didn’t miss a point a,everyth care make sure miss point,0,11,Neutral,"['everyth', 'care', 'sure', 'miss', 'point']",0.5
markedly pleasant expression came to his face he said “i,markedli pleasant express came face said,3,10,Positive,"['markedli', 'pleasant', 'express', 'come', 'face', 'say']",0.7333333333333333
am pleased with their appraisal of my man’s work” he then,pleas apprais man work,3,11,Positive,"['pleas', 'apprais', 'man', 'work']",0.0
smiled i have never met anyone with a smile quite like prof,smile never met anyon smile quit like prof,6,12,Positive,"['smile', 'meet', 'anyon', 'smile', 'quit', 'like', 'prof']",0.3
dhawan’s—a soft white cloud—you could picture it in any,dhawan soft white cloud could pictur,0,9,Neutral,"['dhawan', 'soft', 'white', 'cloud', 'pictur']",0.05
shape you wanted to,shape want,1,4,Positive,"['shape', 'want']",0.0
i wondered how i should proceed “should i formally,wonder proceed formal,0,9,Neutral,"['wonder', 'proceed', 'formal']",0.0
apply for the post so that drdl could send the,appli post drdl could send,0,10,Neutral,"['appli', 'post', 'drdl', 'send']",0.0
appointment order” i enquired of prof dhawan “no don’t,appoint order enquir prof dhawan,-1,9,Negative,"['appoint', 'order', 'enquir', 'prof', 'dhawan']",0.0
pressurise them let me talk to the toplevel management,pressuris let talk toplevel manag,0,9,Neutral,"['pressuris', 'let', 'talk', 'toplevel', 'manag']",0.0
during my next visit to new delhi” prof dhawan said “i,next visit new delhi prof dhawan said,0,11,Neutral,"['visit', 'new', 'delhi', 'prof', 'dhawan', 'say']",0.06818181818181818
know you have always had one foot in drdo now your,know alway one foot drdo,0,11,Neutral,"['know', 'alway', 'foot', 'drdo']",0.0
whole centre of gravity seems to have shifted towards,whole centr graviti seem shift toward,0,9,Neutral,"['centr', 'graviti', 'shift']",0.2
them” perhaps what prof dhawan was telling me had an,perhap prof dhawan tell,0,10,Neutral,"['perhap', 'prof', 'dhawan', 'tell']",0.0
element of truth in it but my heart had always been at isro,element truth heart alway isro,0,13,Neutral,"['element', 'truth', 'heart', 'alway', 'isro']",0.0
was he really unaware of that,realli unawar,-2,6,Negative,"['realli', 'unawar']",0.0
republic day 1981 brought with it a pleasant surprise,republ day brought pleasant surpris,3,9,Positive,"['republ', 'day', 'bring', 'pleasant', 'surpris']",0.7333333333333333
on the evening of 25 january mahadevan secretary to,even januari mahadevan secretari,0,9,Neutral,"['januari', 'mahadevan', 'secretari']",0.0
prof ur rao rang up from delhi to inform me about the,prof ur rao rang delhi inform,0,12,Neutral,"['prof', 'rao', 'rang', 'delhi', 'inform']",0.0
home ministry announcement about the conferment of the,home ministri announc confer,0,8,Neutral,"['home', 'ministri', 'announc', 'confer']",0.0
padma bhushan award on me the next important call was,padma bhushan award next import call,5,10,Positive,"['padma', 'bhushan', 'award', 'import']",0.0
from prof dhawan to congratulate me i felt blissfully,prof dhawan congratul felt bliss,2,9,Positive,"['prof', 'dhawan', 'congratul', 'feel', 'bliss']",0.0
elated as it was from my guru i rejoiced with prof dhawan,elat guru rejoic prof dhawan,7,12,Positive,"['elat', 'guru', 'rejoic', 'prof', 'dhawan']",0.0
at his receiving the padma vibhushan and i congratulated,receiv padma vibhushan congratul,2,9,Positive,"['receiv', 'padma', 'vibhushan', 'congratul']",0.0
him wholeheartedly i then rang up dr brahm prakash and,wholeheartedli rang dr brahm prakash,0,10,Neutral,"['wholeheartedli', 'ring', 'brahm', 'prakash']",0.0
thanked him dr brahm prakash chided me for the formality,thank dr brahm prakash chide formal,2,10,Positive,"['thank', 'brahm', 'prakash', 'chide', 'formal']",0.0
and said “i feel as if my son has got the award” i was so,said feel son got award,3,15,Positive,"['say', 'feel', 'son', 'get', 'award']",0.0
deeply touched by dr brahm prakash’s affection that i,deepli touch dr brahm prakash affect,3,9,Positive,"['deepli', 'touch', 'brahm', 'prakash', 'affect']",0.0
could no longer keep my emotions in check,could longer keep emot check,-1,8,Negative,"['long', 'emot', 'check']",0.0
i filled my room with the music of bismillah khan’s,fill room music bismillah khan,0,10,Neutral,"['fill', 'room', 'music', 'bismillah', 'khan']",0.0
shehnai the music took me to another time another place,shehnai music took anoth time anoth place,0,10,Neutral,"['shehnai', 'music', 'take', 'anoth', 'time', 'anoth', 'place']",0.0
i visited rameswaram and hugged my mother my father,visit rameswaram hug mother father,2,9,Positive,"['visit', 'rameswaram', 'hug', 'mother', 'father']",0.0
ran his caring fingers through my hair my mentor,ran care finger hair mentor,0,9,Neutral,"['run', 'care', 'finger', 'hair', 'mentor']",0.0
jallaluddin announced the news to the crowd gathered on,jallaluddin announc news crowd gather,0,9,Neutral,"['jallaluddin', 'announc', 'news', 'crowd', 'gather']",0.0
mosque street my sister zohara prepared special sweets,mosqu street sister zohara prepar special sweet,2,8,Positive,"['mosqu', 'street', 'sister', 'zohara', 'prepar', 'special', 'sweet']",0.35357142857142854
for me pakshi lakshmana sastry put a tilak on my,pakshi lakshmana sastri put tilak,0,10,Neutral,"['pakshi', 'lakshmana', 'sastri', 'tilak']",0.0
forehead fr solomon blessed me holding the holy cross i,forehead fr solomon bless hold holi cross,2,10,Positive,"['forehead', 'solomon', 'bles', 'hold', 'holi', 'cross']",0.0
saw prof sarabhai smiling with a sense of achievement—,saw prof sarabhai smile sens achiev,2,9,Positive,"['see', 'prof', 'sarabhai', 'smile', 'sens', 'achiev']",0.3
the sapling which he had planted twenty years ago had,sapl plant twenti year ago,0,10,Neutral,"['sapl', 'plant', 'twenti', 'year', 'ago']",0.0
finally grown into a tree whose fruits were being,final grown tree whose fruit,0,9,Neutral,"['final', 'grown', 'tree', 'fruit']",0.0
appreciated by the people of india,appreci peopl india,2,6,Positive,"['appreci', 'peopl', 'india']",0.0
my padma bhushan evoked mixed reactions at vssc,padma bhushan evok mix reaction vssc,0,8,Neutral,"['padma', 'bhushan', 'evok', 'mix', 'reaction', 'vssc']",0.0
while there were some who shared my happiness there,share happi,4,9,Positive,"['share', 'happi']",0.0
were others who felt i was being unduly singled out for,other felt unduli singl,0,11,Neutral,"['feel', 'unduli', 'singl']",-0.125
recognition some of my close associates turned envious,recognit close associ turn enviou,-2,8,Negative,"['recognit', 'close', 'associ', 'turn', 'enviou']",0.0
why do some people fail to see the great values of life,peopl fail see great valu life,1,12,Positive,"['peopl', 'fail', 'great', 'valu', 'life']",0.15000000000000002
because of sadly twisted thought processes happiness,sadli twist thought process happi,1,7,Positive,"['sadli', 'twist', 'thought', 'process', 'happi']",0.0
satisfaction and success in life depend on making the right,satisfact success life depend make right,2,10,Positive,"['satisfact', 'success', 'life', 'depend', 'right']",0.2928571428571428
choices the winning choices there are forces in life,choic win choic forc life,4,9,Positive,"['choic', 'win', 'choic', 'forc', 'life']",0.8
working for you and against you one must distinguish the,work one must distinguish,0,10,Neutral,"['work', 'distinguish']",0.0
beneficial forces from the malevolent ones and choose,benefici forc malevol one choos,0,8,Neutral,"['benefici', 'forc', 'malevol', 'choo']",0.0
correctly between them,correctli,0,3,Neutral,['correctli'],0.0
an inner voice told me that the time had come for a long,inner voic told time come long,0,13,Neutral,"['inner', 'voic', 'tell', 'time', 'come', 'long']",-0.025
felt but ignored need for renewal let me clean my slate,felt ignor need renew let clean slate,1,11,Positive,"['feel', 'ignor', 'need', 'renew', 'let', 'clean', 'slate']",0.3666666666666667
and write new ‘sums’ were the earlier sums done,write new sum earlier sum done,0,9,Neutral,"['write', 'new', 'sum', 'early', 'sum']",0.06818181818181818
correctly evaluating one’s own progress in life is not an,correctli evalu one progress life,2,10,Positive,"['correctli', 'evalu', 'progress', 'life']",0.0
easy task here the student has to set his own questions,easi task student set question,1,11,Positive,"['easi', 'task', 'student', 'set', 'question']",0.0
seek his own answers and evaluate them to his own,seek answer evalu,0,10,Neutral,"['seek', 'answer', 'evalu']",0.0
satisfaction judgement aside eighteen years at isro was,satisfact judgement asid eighteen year isro,0,8,Neutral,"['satisfact', 'judgement', 'asid', 'eighteen', 'year', 'isro']",0.0
too long a stay to leave without pain as for my afflicted,long stay leav without pain afflict,-3,12,Negative,"['long', 'stay', 'leav', 'pain', 'afflict']",-0.05
friends the lines by lewis carroll seemed very,friend line lewi carrol seem,0,8,Neutral,"['friend', 'line', 'lewi', 'carrol']",0.0
appropriate,appropri,0,1,Neutral,['appropri'],0.0
you may charge me with murder –,may charg murder,-2,7,Negative,"['charg', 'murder']",0.0
or want of sense,want sens,1,4,Positive,"['want', 'sen']",0.0
we are all of us weak at times,us weak time,-2,8,Negative,"['weak', 'time']",-0.375
but the slightest approach to a false pretence,slightest approach fals pretenc,0,8,Neutral,"['slight', 'approach', 'fal', 'pretenc']",0.0
was never among my crimes,never among crime,-3,5,Negative,['crime'],0.0
,,0,0,Neutral,[],0.0
iii,iii,0,1,Neutral,['iii'],0.0
propitiation,propiti,0,1,Neutral,['propiti'],0.0
 1981 – 1991 ,,0,3,Neutral,[],0.0
let craft ambition spite,let craft ambit spite,0,4,Neutral,"['let', 'craft', 'ambit', 'spite']",0.0
be quenched in reason’s night till weakness turn to,quench reason night till weak turn,-2,9,Negative,"['quench', 'reason', 'night', 'till', 'weak', 'turn']",-0.375
might,might,0,1,Neutral,[],0.0
till what is dark be light,till dark light,0,6,Neutral,"['till', 'dark', 'light']",0.125
till what is wrong be right,till wrong right,-2,6,Negative,"['till', 'wrong', 'right']",-0.10714285714285715
lewis carroll,lewi carrol,0,2,Neutral,"['lewi', 'carrol']",0.0
10,,0,1,Neutral,[],0.0
seekers,seeker,0,1,Neutral,['seeker'],0.0
a,,0,1,Neutral,[],0.0
minor tussle over my services occurred at this time,minor tussl servic occur time,0,9,Neutral,"['minor', 'tussl', 'servic', 'occur', 'time']",-0.05
between isro which was a little hesitant to relieve me and,isro littl hesit reliev,-1,11,Negative,"['isro', 'littl', 'hesit', 'reliev']",0.0
drdo which wanted to take me in many months went by,drdo want take mani month went,1,11,Positive,"['drdo', 'want', 'mani', 'month', 'go']",0.0
and,,0,1,Neutral,[],0.0
many letters were exchanged between isro and,mani letter exchang isro,0,7,Neutral,"['mani', 'letter', 'exchang', 'isro']",0.0
drdo and meetings were held in the secretariats of the,drdo meet held secretariat,0,10,Neutral,"['drdo', 'meet', 'hold', 'secretariat']",0.0
defence rd establishment and the department of space,defenc rd establish depart space,0,8,Neutral,"['defenc', 'establish', 'depart', 'space']",0.0
to precipitate a mutually convenient course of action,precipit mutual conveni cours action,0,8,Neutral,"['precipit', 'mutual', 'conveni', 'cours', 'action']",0.1
meanwhile prof ramanna retired from the office of the,meanwhil prof ramanna retir offic,0,9,Neutral,"['meanwhil', 'prof', 'ramanna', 'retir', 'offic']",0.0
scientific advisor to defence minister dr vs,scientif advisor defenc minist dr vs,0,7,Neutral,"['scientif', 'advisor', 'defenc', 'minist']",0.0
arunachalam till then director of the defence metallurgical,arunachalam till director defenc metallurg,0,8,Neutral,"['arunachalam', 'till', 'director', 'defenc', 'metallurg']",0.0
research laboratory dmrl in hyderabad succeeded,research laboratori dmrl hyderabad succeed,0,6,Neutral,"['research', 'laboratori', 'dmrl', 'hyderabad', 'succeed']",0.0
prof ramanna dr arunachalam was known for his,prof ramanna dr arunachalam known,0,8,Neutral,"['prof', 'ramanna', 'arunachalam', 'know']",0.0
confidence and he cared little for the intricacies and,confid care littl intricaci,4,9,Positive,"['confid', 'care', 'littl', 'intricaci']",0.0
nuances of the scientific bureaucracy meanwhile i,nuanc scientif bureaucraci meanwhil,0,7,Neutral,"['nuanc', 'scientif', 'bureaucraci', 'meanwhil']",0.0
understand that the defence minister at that time r,understand defenc minist time r,0,9,Neutral,"['understand', 'defenc', 'minist', 'time']",0.0
venkataraman discussed the matter of my taking over the,venkataraman discuss matter take,1,9,Positive,"['venkataraman', 'discuss', 'matter']",0.0
missile laboratory with prof dhawan prof dhawan also,missil laboratori prof dhawan prof dhawan also,0,8,Neutral,"['missil', 'laboratori', 'prof', 'dhawan', 'prof', 'dhawan']",0.0
seemed to be waiting for a decisive step at the highest,seem wait decis step highest,1,11,Positive,"['wait', 'decis', 'step', 'highest']",0.0
level in the defence ministry overcoming the niggling,level defenc ministri overcom niggl,0,8,Neutral,"['level', 'defenc', 'ministri', 'overcom', 'niggl']",0.0
doubts that had caused delays over the past year the,doubt caus delay past year,-2,10,Negative,"['doubt', 'caus', 'delay', 'past', 'year']",-0.25
decision to appoint me director drdl was finally taken in,decis appoint director drdl final taken,0,10,Neutral,"['decis', 'appoint', 'director', 'drdl', 'final', 'take']",0.0
february 1982,februari,0,2,Neutral,['februari'],0.0
prof dhawan used to visit my room in the isro,prof dhawan use visit room isro,0,10,Neutral,"['prof', 'dhawan', 'use', 'visit', 'room', 'isro']",0.0
headquarters and spend many hours in evolving space,headquart spend mani hour evolv space,0,8,Neutral,"['headquart', 'spend', 'mani', 'hour', 'evolv', 'space']",0.0
launch vehicle projects it was a great privilege to work with,launch vehicl project great privileg work,3,11,Positive,"['launch', 'vehicl', 'project', 'great', 'privileg', 'work']",0.8
such a great scientist before i left isro prof dhawan,great scientist left isro prof dhawan,2,10,Positive,"['great', 'scientist', 'leave', 'isro', 'prof', 'dhawan']",0.4
asked me to give a talk on the space programme profile in,ask give talk space programm profil,0,12,Neutral,"['ask', 'talk', 'space', 'programm', 'profil']",0.0
india by the year 2000 almost the entire isro,india year almost entir isro,0,9,Neutral,"['india', 'year', 'entir', 'isro']",0.0
management and staff attended my talk which was by way,manag staff attend talk way,0,10,Neutral,"['manag', 'staff', 'attend', 'talk', 'way']",0.0
of a farewell meeting,farewel meet,0,4,Neutral,"['farewel', 'meet']",0.0
i had met dr vs arunachalam in 1976 when i visited,met dr vs arunachalam visit,0,11,Neutral,"['meet', 'arunachalam', 'visit']",0.0
dmrl in connection with the aluminium alloy investment,dmrl connect aluminium alloy invest,0,8,Neutral,"['dmrl', 'connect', 'aluminium', 'alloy', 'invest']",0.0
casting for the slv inertial guidance platform taking it as,cast slv inerti guidanc platform take,0,10,Neutral,"['cast', 'slv', 'inerti', 'guidanc', 'platform']",0.0
a personal challenge dr arunachalam had the investment,person challeng dr arunachalam invest,-1,8,Negative,"['person', 'challeng', 'arunachalam', 'invest']",0.0
casting the first of its kind in the country made in the,cast first kind countri made,2,12,Positive,"['cast', 'kind', 'countri']",0.425
incredibly short time of two months his youthful energy and,incred short time two month youth energi,2,10,Positive,"['incre', 'short', 'time', 'month', 'youth', 'energi']",0.0
enthusiasm never failed to amaze me this young,enthusiasm never fail amaz young,0,8,Neutral,"['enthusiasm', 'fail', 'amaz', 'young']",0.175
metallurgist had within a short span of time lifted the,metallurgist within short span time lift,0,10,Neutral,"['metallurgist', 'short', 'span', 'time', 'lift']",0.0
science of metalmaking to the technology of metalforming,scienc metalmak technolog metalform,0,8,Neutral,"['scienc', 'metalmak', 'technolog', 'metalform']",0.0
and then to the art of alloy development with a tall and,art alloy develop tall,0,12,Neutral,"['art', 'alloy', 'develop', 'tall']",0.0
elegant figure dr arunachalam was like an electrically,eleg figur dr arunachalam like electr,4,8,Positive,"['eleg', 'figur', 'arunachalam', 'like', 'electr']",0.0
charged dynamo himself i found him an unusually friendly,charg dynamo found unusu friendli,2,9,Positive,"['charg', 'dynamo', 'find', 'unusu', 'friendli']",0.0
person with a forceful manner as well as an excellent,person forc manner well excel,3,10,Positive,"['person', 'forc', 'manner', 'excel']",0.0
working partner,work partner,0,2,Neutral,"['work', 'partner']",0.0
i visited drdl in april 1982 to acquaint myself with my,visit drdl april acquaint,0,11,Neutral,"['visit', 'drdl', 'april', 'acquaint']",0.0
potential work site the director of drdl then sl bansal,potenti work site director drdl sl bansal,0,10,Neutral,"['potenti', 'work', 'site', 'director', 'drdl', 'bansal']",0.0
took me around and introduced me to the senior scientists,took around introduc senior scientist,0,10,Neutral,"['take', 'introduc', 'senior', 'scientist']",0.0
in the laboratory drdl was working on five staff projects,laboratori drdl work five staff project,0,10,Neutral,"['laboratori', 'drdl', 'work', 'staff', 'project']",0.0
and sixteen competence buildup projects they were also,sixteen compet buildup project also,0,8,Neutral,"['sixteen', 'compet', 'buildup', 'project']",0.0
involved in several technologyoriented activities with a,involv sever technologyori activ,0,7,Neutral,"['involv', 'sever', 'technologyori', 'activ']",0.0
view to gain lead time for the development of indigenous,view gain lead time develop indigen,2,10,Positive,"['view', 'gain', 'lead', 'time', 'develop', 'indigen']",0.0
missile systems in future i was particularly impressed by,missil system futur particularli impress,3,9,Positive,"['missil', 'system', 'futur', 'particularli', 'impress']",0.0
their efforts on the twin 30ton liquid propellant rocket,effort twin ton liquid propel rocket,0,9,Neutral,"['effort', 'twin', 'ton', 'liquid', 'propel', 'rocket']",0.0
engine,engin,0,1,Neutral,['engin'],0.0
meanwhile anna university madras conferred the,meanwhil anna univers madra confer,0,6,Neutral,"['meanwhil', 'anna', 'univers', 'madra', 'confer']",0.0
honorary degree of doctor of science on me it had been,honorari degre doctor scienc,0,11,Neutral,"['honorari', 'degre', 'doctor', 'scienc']",0.0
nearly twenty years since i had acquired my degree in,nearli twenti year sinc acquir degre,0,10,Neutral,"['nearli', 'twenti', 'year', 'sinc', 'acquir', 'degre']",0.0
aeronautical engineering i was happy that anna university,aeronaut engin happi anna univers,3,8,Positive,"['aeronaut', 'engin', 'happi', 'anna', 'univers']",0.0
had recognized my efforts in the field of rocketry but what,recogn effort field rocketri,0,11,Neutral,"['recogn', 'effort', 'field', 'rocketri']",0.0
pleased me most was the recognition of the value of our,pleas recognit valu,1,11,Positive,"['pleas', 'recognit', 'valu']",0.0
work in academic circles to my delight the honorary,work academ circl delight honorari,3,9,Positive,"['work', 'academ', 'circl', 'delight', 'honorari']",0.0
doctorate degree was awarded at a convocation presided,doctor degre award convoc presid,3,8,Positive,"['doctor', 'degre', 'award', 'convoc', 'presid']",0.0
over by prof raja ramanna,prof raja ramanna,0,5,Neutral,"['prof', 'raja', 'ramanna']",0.0
i joined drdl on 1 june 1982 very soon i realized,join drdl june soon realiz,1,11,Positive,"['join', 'drdl', 'june', 'soon', 'realiz']",0.0
that this laboratory was still haunted by the winding up of the,laboratori still haunt wind,-1,12,Negative,"['laboratori', 'haunt', 'wind']",0.0
devil missile project many excellent professionals had not,devil missil project mani excel profession,3,8,Positive,"['devil', 'missil', 'project', 'mani', 'excel', 'profession']",0.0
yet recovered from the disappointment people outside the,yet recov disappoint peopl outsid,-2,8,Negative,"['recov', 'disappoint', 'peopl', 'outsid']",0.0
scientific world may find it difficult to comprehend how a,scientif world may find difficult comprehend,-1,10,Negative,"['scientif', 'world', 'find', 'difficult', 'comprehend']",-0.5
scientist feels when the umbilical cord to his work is,scientist feel umbil cord work,0,10,Neutral,"['scientist', 'feel', 'umbil', 'cord', 'work']",0.0
suddenly snapped for reasons totally alien to his,suddenli snap reason total alien,0,8,Neutral,"['suddenli', 'snap', 'reason', 'total', 'alien']",-0.125
understanding and interests the general mood and work,understand interest gener mood work,1,8,Positive,"['understand', 'interest', 'gener', 'mood', 'work']",0.0
tempo at drdl reminded me of samuel taylor,tempo drdl remind samuel taylor,0,8,Neutral,"['tempo', 'drdl', 'remind', 'samuel', 'taylor']",0.0
coleridge’s poem the rime of the ancient mariner,coleridg poem rime ancient marin,0,8,Neutral,"['coleridg', 'poem', 'rime', 'ancient', 'marin']",0.0
day after day day after day,day day day day,0,6,Neutral,"['day', 'day', 'day', 'day']",0.0
we stuck nor breath nor motion,stuck breath motion,0,6,Neutral,"['stick', 'breath', 'motion']",0.0
as idle as a painted ship,idl paint ship,0,6,Neutral,"['idl', 'paint', 'ship']",0.0
upon a painted ocean,upon paint ocean,0,4,Neutral,"['paint', 'ocean']",0.0
i found almost all my senior colleagues living with the,found almost senior colleagu live,0,10,Neutral,"['find', 'senior', 'colleagu', 'live']",0.13636363636363635
pain of dashed hopes there was a widespread feeling that,pain dash hope widespread feel,1,10,Positive,"['pain', 'dash', 'hope', 'widespread', 'feel']",0.0
the scientists of this laboratory had been cheated by the,scientist laboratori cheat,-3,10,Negative,"['scientist', 'laboratori', 'cheat']",0.0
senior officials in the ministry of defence it was clear to me,senior offici ministri defenc clear,1,12,Positive,"['senior', 'offici', 'ministri', 'defenc', 'clear']",0.10000000000000002
that the burial of the devil was essential for the rise of hope,burial devil essenti rise hope,2,13,Positive,"['burial', 'devil', 'essenti', 'rise', 'hope']",0.0
and vision,vision,1,2,Positive,['vision'],0.0
when about a month later admiral os dawson then,month later admir os dawson,0,9,Neutral,"['month', 'later', 'admir', 'dawson']",0.0
the chief of naval staff visited drdl i used it as an,chief naval staff visit drdl use,0,12,Neutral,"['chief', 'naval', 'staff', 'visit', 'drdl', 'use']",0.0
opportunity to make a point with my team the tactical,opportun make point team tactic,2,10,Positive,"['opportun', 'point', 'team', 'tactic']",0.0
core vehicle tcv project had been hanging fire for quite,core vehicl tcv project hang fire quit,-2,10,Negative,"['core', 'vehicl', 'tcv', 'project', 'hang', 'fire', 'quit']",0.0
